id,Main_Category,Is_Successful,Rounds,People,Days,Sub_Category,Content,Keywords,KG_Paths,Explanation
9800163,Criminal,Successful,1,5,15,Traffic Accident,"At about 18:00 on March 3, 1998, [name] was riding a motorcycle owned by him [license plate] and [name] was driving a personal passenger car owned by [name] [license plate], and a car accident occurred between Section 2 of Zhonghua North Road and Section 3 of Haian Road in Tainan City.",Locomotive and passenger car for personal use,ENTITY_Car accident injury dispute->ENTITY_4th to 8th rib atresia->ENTITY_Head->CASE_10000342->OUTCOME_10000342_Established | ENTITY_Private passenger car->CASE_10100552->DETAIL_Car accident injury dispute->CASE_10300803->OUTCOME_10300803_Established | ENTITY_Car accident injury dispute->ENTITY_Company-owned->ENTITY_Motorcycle->CASE_10300043->OUTCOME_10300043_Established | ENTITY_Car accident injury dispute->ENTITY_Company-owned->ENTITY_Injury->CASE_9900073->OUTCOME_9900073_Established | ENTITY_Private passenger car->CASE_10100552->DETAIL_Car accident injury dispute->CASE_10400858->OUTCOME_10400858_Not established,"Since the two parties had no major differences in determining the ownership of the locomotive, reached consensus on the maintenance of the locomotive and the amount of compensation, and the mutual trust between the two parties still existed, mediation was established."
9800164,Criminal,Unsuccessful,1,2,7,Relationship Dispute,"[Name] and [Name] got married in Mainland China in 1984 and had 2 daughters ( ). In 1989, [Name] asked [Name] to bring her daughter back to Taiwan to live. [Name] is still working in Mainland China. Since June 1993, she has not paid living expenses to her mother and daughter.","Married in Mainland China, has two daughters, returned to Taiwan to live, no more living expenses paid",ENTITY_Civil (Property)->ENTITY_Payment->CASE_9800209->DETAIL_Civil (Property)->CASE_9800471->OUTCOME_9800471_Not established | ENTITY_Living expenses->CASE_9800209->DETAIL_Civil (property)->CASE_10600686->OUTCOME_10600686_Not established | ENTITY_Mainland people->ENTITY_Divorce->ENTITY_Civil (property)->ENTITY_Lease->CASE_10500503->OUTCOME_10500503_Not established | ENTITY_Mainland people->ENTITY_Divorce->CASE_9800209->DETAIL_Civil (property)->CASE_10400206->OUTCOME_10400206_Not established | ENTITY_Emotional dispute->ENTITY_Payment->CASE_9800209->DETAIL_Civil (property)->CASE_10000629->OUTCOME_10000629_Not established,"Since the two parties have great differences on the distribution of property and payment of living expenses, and the mainland spouse has returned to Taiwan and demands to live independently, which has caused major changes in the relationship between the two parties, the mediation result is expected to be unsuccessful."
9800165,Criminal,Unsuccessful,2,2,24,Traffic Accident,"At around 10:00 on December 31, 1997, [Name] was driving a personal passenger car with [License Plate] and [Name] was riding a motorcycle with [License Plate], and a car accident occurred at the intersection of Chenggong Road and Ziqiang Street Lane 34, North District, Tainan City.",Private passenger car and motorcycle at the alley entrance,ENTITY_Private passenger car->CASE_10100552->DETAIL_Car accident injury dispute->CASE_10100638->OUTCOME_10100638_Establishment | ENTITY_Motorcycle->CASE_10100552->DETAIL_Car accident injury dispute->CASE_10000095->OUTCOME_10000095_Establishment | ENTITY_Private passenger car->CASE_10100552->DETAIL_Car accident injury dispute->CASE_10000460->OUTCOME_10000460_Not established | ENTITY_Owned passenger car->CASE_10100552->DETAIL_Car accident injury dispute->CASE_9900522->OUTCOME_9900522_Established | ENTITY_Car accident injury dispute->ENTITY_Company-owned->ENTITY_Owned passenger car->CASE_10600498->OUTCOME_10600498_Established,"Since the two parties had little disagreement on the amount of compensation, and the liability for the accident was clearly borne by the other party, with the joint efforts of both parties, a settlement was successfully reached and mediation was established."
9800166,Criminal,Unsuccessful,1,2,7,Infringement,"At about 19:30 on January 11, 1998, [Name] went to a shampoo store on Chenggong Road, Zhongxi District, Tainan City to look for [Name]. [Name] entered the store and yelled curses, dragged [Name] out, and beat [Name] with a no-parking iron sign outside the door.",Shampoo shop yelled loudly dragged out beaten District Court Prosecutor's Office,ENTITY_Assault->ENTITY_Mediation->ENTITY_Civil (Property)->ENTITY_Injury->CASE_10200014->OUTCOME_10200014_Established | ENTITY_Infringement->ENTITY_Civil (Property)->ENTITY_Mediation->ENTITY_Borrowed Name->CASE_10300323->OUTCOME_10300323_Established | ENTITY_Injury Dispute->ENTITY_Mediation->ENTITY_District Prosecutor’s Referral->ENTITY_Communication->CASE_10100499->OUTCOME_10100499_Established | ENTITY_Yilan District Court Prosecutor’s Office->ENTITY_District Prosecutor’s Referral->ENTITY_Injury->ENTITY_Assignment->CASE_9800512->OUTCOME_9800512_Established,"This case involves the owner of a shampoo shop yelling at a customer, then dragging him out of the shop and beating him, which constitutes an infringement, and there is relevant evidence to support it. Therefore, in the civil lawsuit, the plaintiff can request damages from the defendant, and the district court prosecutor's office can intervene in the investigation. If the district prosecutor's office deems it necessary, the case can be transferred to the high court for trial. Therefore, it is inferred that mediation is established."
9800167,Criminal,Successful,1,6,2,Injury,"At 9:00 pm on November 25, 1997, [name] was beaten over a minor dispute in front of Tung Tees, North District, causing [name] to be injured.",Details Dispute Assault Injury District Court Prosecutor’s Office,ENTITY_Dispute->ENTITY_Civil (Property)->ENTITY_Divorce->ENTITY_Apply for Mediation->CASE_10000657->OUTCOME_10000657_Established | ENTITY_District Court->ENTITY_Civil (Property)->ENTITY_Mediation->CASE_10400156->OUTCOME_10400156_Established | ENTITY_Details->ENTITY_District Prosecutor’s Referral->ENTITY_Emotional Dispute->ENTITY_Civil (Property)->ENTITY_Insufficient Salary Payment->CASE_10700073->OUTCOME_10700073_Establishment | ENTITY_Injury->ENTITY_Civil (Property)->ENTITY_Mediation->CASE_10500467->OUTCOME_10500467_Established | ENTITY_Yilan District Court Prosecutor's Office->ENTITY_District Prosecutor's Referral->ENTITY_Trespass and Theft->ENTITY_Owner->CASE_10300504->OUTCOME_10300504_Established,"This case is a minor dispute. Neither party has suffered any serious harm and both parties are remorseful. In addition, the intervention of the District Court Prosecutor's Office will help clarify the facts of the case, so it is inferred that mediation has been established."
9800168,Criminal,Successful,1,3,7,Traffic Accident,"At about 17:30 on February 5, 1998, [name] was riding a motorcycle owned by him [license plate] and [name] was driving a passenger car owned by [name] [license plate], and a car accident occurred on Beiyuan Street, North District, Tainan City.",Locomotive and passenger car for personal use,ENTITY_Private passenger car->CASE_10100552->DETAIL_Car accident injury dispute->CASE_10100467->OUTCOME_10100467_Established | ENTITY_Car accident injury dispute->ENTITY_Company-owned->ENTITY_Injury->CASE_10300288->OUTCOME_10300288_Not established | ENTITY_Private passenger car->ENTITY_Owned by the company->ENTITY_Carrying->CASE_10400193->OUTCOME_10400193_Established | ENTITY_Motorcycle->CASE_10100552->DETAIL_Car accident injury dispute->CASE_10400503->OUTCOME_10400503_Established | ENTITY_Motorcycle->CASE_10100552->DETAIL_Car accident injury dispute->CASE_10600088->OUTCOME_10600088_Not established,"In this case, a motorcycle and a private passenger car collided in a car accident, resulting in injuries to both parties and property losses. After analyzing the statements and evidence of both parties, it was determined that the responsibility for negligent driving and vehicle damage identification was attributable, and a settlement was reached within a reasonable range, so it was concluded that mediation was established."
9800169,Criminal,Successful,1,3,10,Traffic Accident,"At about 8:10 on February 19, 1998, [name] was riding a motorcycle owned by [name] with [license plate] and [name] was riding a motorcycle with [license plate], and a car accident occurred on the east side of the intersection of Kaiyuan Road and Shengli Intersection in North District, Tainan City.",motorcycle intersection,ENTITY_Car accident injury dispute->ENTITY_Company-owned->ENTITY_Injury->CASE_10100271->OUTCOME_10100271_Established | ENTITY_Motorcycle->CASE_10100552->DETAIL_Car accident injury dispute->CASE_10100018->OUTCOME_10100018_Established | ENTITY_Car accident injury dispute->ENTITY_Car accident->ENTITY_Car damage->CASE_10500353->OUTCOME_10500353_Not established | ENTITY_Motorcycle->CASE_10100552->DETAIL_Car accident injury dispute->CASE_10600532->OUTCOME_10600532_Established | ENTITY_Car accident injury dispute->ENTITY_Company owned->ENTITY_Injury->CASE_10200040->OUTCOME_10200040_Established,"Since the motorcycle collided at the intersection, both parties were injured, and the two parties still disputed the responsibility for the accident. However, considering that both parties were first-time offenders and remorseful, and the accident location was at an intersection, and the relevant evidence was clear, it was inferred that this mediation would be established."
9800170,Criminal,Unsuccessful,1,6,9,Injury,"He stated that he had a conflict with [name], [name], and [name] on March 10, 1998 at Nanying Commercial and Industrial Complex, causing a rupture of his right eardrum and multiple contusions on his body.","Conflict, right eardrum rupture, contusion",ENTITY_Broken->ENTITY_Civil (Property)->ENTITY_Purchase->ENTITY_Unpaid->CASE_10200026->OUTCOME_10200026_Established | ENTITY_Chest wall contusion->ENTITY_Infringement->ENTITY_Civil (Property)->ENTITY_Mediation->CASE_10400156->OUTCOME_10400156_Established | ENTITY_Breakdown->ENTITY_Civil (Property)->ENTITY_Mediation->ENTITY_Death->CASE_10100325->OUTCOME_10100325_Established | ENTITY_Injury Dispute->ENTITY_Mediation->ENTITY_Civil (Property)->ENTITY_Lease->CASE_10400315->OUTCOME_10400315_Established | ENTITY_Injury dispute->ENTITY_Mediation->ENTITY_Civil (property)->ENTITY_Loan->CASE_10000577->OUTCOME_10000577_Established,"Since the two parties have little disagreement on the amount of compensation and both parties are willing to reach a settlement. In addition, this case is an injury dispute and legally it is possible to request damages from the other party, so it is deduced that mediation has been established."
9800171,Civil,Unsuccessful,1,3,11,Sales & Lease,"[Name] entered into a sales contract with [Name] on March 10, 1998 and received [Name] NT$300,000 for signing and certification. [Name] purchased from [Name] the building at No. 30, Alley 20, Lane 275, Kainan Street, North District, Tainan City, and the building site at No. 725-57, Huaxing Section, Tainan City","Sale and purchase contract, signing, documentation, construction, construction land, house purchase, disputes",ENTITY_Sales Contract->ENTITY_Civil (Property)->ENTITY_Land and Buildings->ENTITY_Recovery->CASE_10500905->OUTCOME_10500905_Not Established | ENTITY_Signing->ENTITY_Civil (Property)->ENTITY_Mediation->CASE_10300435->OUTCOME_10300435_Not Established | ENTITY_House Purchase->ENTITY_Civil (Property)->ENTITY_Mediation->ENTITY_Injury->CASE_10000086->OUTCOME_10000086_Not Established | ENTITY_Signing->ENTITY_Civil (Property)->ENTITY_Mediation->ENTITY_Injury->CASE_10400008->OUTCOME_10400008_Not Established | ENTITY_Building->ENTITY_Civil (property)->ENTITY_Land and Building->ENTITY_Peel-off->CASE_10500685->OUTCOME_10500685_Not established,"Due to the large gap in understanding between the two parties regarding the house purchase dispute and the unclear property rights of the building and land, the two parties were unable to reach a consensus, so the mediation was ultimately unsuccessful."
9800172,Criminal,Successful,3,3,34,Traffic Accident,"At about 12:25 on December 4, 1997, [Name] was driving a passenger car owned by him [License Plate] and [Name] was riding a motorcycle owned by [Name] [License Plate], and a car accident occurred at the intersection of Bei'an Road and Beicheng Road, North District, Tainan City.",Private passenger car and motorcycle,ENTITY_Private passenger car->CASE_10100552->DETAIL_Car accident injury dispute->CASE_10600661->OUTCOME_10600661_Establishment | ENTITY_Private passenger car->CASE_10100552->DETAIL_Car accident injury dispute->CASE_10000049->OUTCOME_10000049_Established | ENTITY_Car accident injury dispute->ENTITY_Company-owned->ENTITY_Injury->CASE_9900393->OUTCOME_9900393_Not established | ENTITY_Car accident injury dispute->ENTITY_Company-owned->ENTITY_Motorcycle->CASE_10600532->OUTCOME_10600532_Established | ENTITY_Private passenger car->CASE_10100552->DETAIL_Car accident injury dispute->CASE_10600788->OUTCOME_10600788_Established,"This case is a car accident involving a passenger car and a motorcycle. Both parties are responsible for the accident. However, the driver of the passenger car for his own use caused more serious injuries in the accident, so the other side made a claim for compensation. Since the two parties still disputed the responsibility for the accident, they finally reached an agreement during the mediation, agreeing to jointly bear part of the responsibility, and the driver of the private passenger car to pay part of the compensation. The owner of the locomotive was exempted from part of the compensation liability, so it was inferred that the mediation was established."
9800173,Civil,Unsuccessful,1,5,13,Debt,"The petitioner filed the Tainan District Court of Taiwan’s Tainan District Court’s 97th Division’s Payment Order No. 18275 against five persons, and the 97th Division’s Execution Order No. 94707, the 93th Division’s Execution Order No. 27231, and the 95th Division’s Execution Order No. 1760.",Payment order Execution order Amount of claim Payment,ENTITY_Civil (Property)->ENTITY_Payment->CASE_9800209->DETAIL_Civil (Property)->CASE_10500681->OUTCOME_10500681_Not established | ENTITY_Civil (property)->ENTITY_Divorce->ENTITY_Claim for mediation->ENTITY_Injury->ENTITY_Neck muscle rupture->CASE_10000406->OUTCOME_10000406_Not established | ENTITY_Payment Order->ENTITY_Civil (Property)->ENTITY_Neighbor House->ENTITY_Damage->CASE_10300310->OUTCOME_10300310_Not Established | ENTITY_payment->ENTITY_civil (property)->ENTITY_land and building->ENTITY_receipt->CASE_10000595->OUTCOME_10000595_not established | ENTITY_payment->ENTITY_civil (property)->ENTITY_defect->CASE_9900034->OUTCOME_9900034_not established,"Due to the objections and disputes between the two parties regarding the payment order and execution order, as well as the unclear amount of the creditor's rights and payment terms, it was difficult for the mediation committee to reach a consensus, so the mediation was ultimately unsuccessful."
9800174,Criminal,Unsuccessful,1,3,9,Traffic Accident,"At about 10:45 on October 24, 1997, [Name] was riding a motorcycle with [License Plate] and [Name] was driving a personal passenger car with [License Plate], and a car accident occurred at the intersection of Yuxian Road, North District, Tainan City.","Motorcycle, private passenger car, intersection",ENTITY_Motorcycle->CASE_10100552->DETAIL_Car accident injury dispute->CASE_10100028->OUTCOME_10100028_Establishment | ENTITY_Owned passenger car->CASE_10100552->DETAIL_Car accident injury dispute->CASE_10000424->OUTCOME_10000424_Established | ENTITY_Owned passenger car->ENTITY_Car accident->ENTITY_Car damage->CASE_10300209->OUTCOME_10300209_Established | ENTITY_Car accident injury dispute->ENTITY_Car accident->ENTITY_Car damage->CASE_10500075->OUTCOME_10500075_Not established | ENTITY_Motorcycle->CASE_10100552->DETAIL_Car accident injury dispute->CASE_10400590->OUTCOME_10400590_Established,"Since there is no big difference between the two parties regarding the responsibility of the motorcycle rider, and the accident location is at an intersection with traffic lights, both parties have a record of abiding by traffic rules. Therefore, in terms of vehicle damage and injuries, the compensation plan acceptable to both parties is the motorcycle repair fee and medical expenses, so it is inferred that mediation is established."
9800175,Civil,Successful,1,3,9,Land & Building,"The petitioner's building on the 4th floor of Lane 527, Section 2, Beimen Road, North District, Tainan City, is leaking. He coordinates with the owner of the building on the 5th floor of Lane 527, Lane 527, Section 2, Beimen Road, North District, Tainan City, to repair the leak.",Building leak coordination repair,ENTITY_Repair->ENTITY_Civil (Property)->ENTITY_Divorce->ENTITY_Claim for Mediation->CASE_10600672->OUTCOME_10600672_Not Established | ENTITY_Building->ENTITY_Civil (Property)->ENTITY_Land and Building->ENTITY_Agent->CASE_9900461->OUTCOME_9900461_Not Established | ENTITY_Civil (Property)->ENTITY_Payment->CASE_9800209->DETAIL_Civil (Property)->CASE_10000625->OUTCOME_10000625_Not established | ENTITY_Land and buildings->ENTITY_Civil (property)->ENTITY_Mediation->CASE_10600408-​​>OUTCOME_10600408_Not established | ENTITY_Civil (Property)->ENTITY_Payment->CASE_9800209->DETAIL_Civil (Property)->CASE_10400341->OUTCOME_10400341_Not established,"Due to the large differences of opinion between the two parties on the sharing of repair costs, coupled with the lack of specific repair plans and credible third-party intervention, it was difficult for the mediation committee to reach a consensus, so it was deduced that this mediation would ultimately fail."
9800176,Criminal,Successful,3,5,35,Traffic Accident,"At 21:30 on March 11, 1998, [name] was riding a bicycle and [name] was driving a personal passenger car owned by [name] with [license plate], and a car accident occurred in Yongkang City, Tainan County.",Bicycle private passenger car,ENTITY_Private passenger car->CASE_10100552->DETAIL_Car accident injury dispute->CASE_10300184->OUTCOME_10300184_Establishment | ENTITY_Private passenger car->CASE_10100552->DETAIL_Car accident injury dispute->CASE_10500666->OUTCOME_10500666_Establishment | ENTITY_Private passenger car->CASE_10100552->DETAIL_Car accident injury dispute->CASE_10500304->OUTCOME_10500304_Not established | ENTITY_Car accident injury dispute->ENTITY_Car accident->ENTITY_Car damage->CASE_10400503->OUTCOME_10400503_Established | ENTITY_Bicycle->ENTITY_Injury->ENTITY_Motorcycle->CASE_10600123->OUTCOME_10600123_Not established,"In this case, a bicycle and a passenger car collided in a car accident, resulting in injuries to the cyclist and damage to the bicycle and the passenger car. Since both parties still have disputes over the attribution of liability for the accident and the amount of compensation, considering that both parties are responsible and there is not much difference in the amounts, it is concluded that mediation has been established."
